"WISKI_STATION_NO","WISKI_EQUIS_ID","WU_SYS_ID","WID","EQUIS_STATION_ID"
E03137001,,77130059,"04010201-B00",S016-118
E03137001,,77130059,"04010201-B00",S016-121
E03137001,,77130059,"04010201-B00",S016-125
H03153002,,59328102,"04010201-579",S016-137
H03153002,,59328102,"04010201-579",S016-138
H03157002,,59328102,"04010201-579",S016-138
E03153001,S002-594,59328102,"04010201-579",S016-141
H03153001,S002-594,59328102,"04010201-579",S016-141
H03157002,,59328102,"04010201-579",S016-142
W03153004,S007-043,59328102,"04010201-579",S016-143
H03156001,,59328102,"04010201-579",S016-144
H03153001,S002-594,59328102,"04010201-579",S016-144
H03153002,,59328102,"04010201-579",S016-145
H03153001,S002-594,59328102,"04010201-579",S016-145
E03153001,S002-594,59328102,"04010201-579",S016-146
H03156001,,59328102,"04010201-579",S016-146
E03153001,S002-594,59328102,"04010201-579",S016-149
H03153002,,59328102,"04010201-579",S016-149
H03153002,,59328102,"04010201-579",S016-151
W03141001,S013-367,59328171,"04010201-644",S016-154
W03141002,S000-631,59328171,"04010201-644",S016-157
W03141001,S013-367,59328171,"04010201-644",S016-158
W03141002,S000-631,59328171,"04010201-644",S016-160
W03141002,S000-631,59328171,"04010201-644",S016-161
W03141001,S013-367,59328171,"04010201-644",S016-162
W03141001,S013-367,59328171,"04010201-644",S016-164
W03141002,S000-631,59328171,"04010201-644",S016-165
H03150001,S007-023,59328719,"04010201-952",S016-171
H03150002,,59328719,"04010201-952",S016-171
E03150001,,59328719,"04010201-952",S016-173
H03150001,S007-023,59328719,"04010201-952",S016-174
H03150002,,59328719,"04010201-952",S016-176
H03150002,,59328719,"04010201-952",S016-177
E03150001,,59328719,"04010201-952",S016-179
E03150001,,59328719,"04010201-952",S016-180
E03150001,,59328719,"04010201-952",S016-182
E03150001,,59328719,"04010201-952",S016-183
E03150001,,59328719,"04010201-952",S016-184
W03189005,,59328150,"04010201-627",S016-049
W03189007,,59328150,"04010201-627",S016-049
W03189016,S009-103,59328150,"04010201-627",S016-049
W03189025,,59328150,"04010201-627",S016-049
W56082007,S002-169,77706558,"09020103-780",S015-007
H43020001,S006-648,64425928,"07040008-G92",S015-036
W43065001,,59337914,"07040008-558",S015-028
W43064001,S015-033,59338905,"07040008-F58",S015-031
H74033003,S015-070,77296886,"09030003-635",S015-070
W70036001,,59341060,"09020312-502",S015-082
W17010006,S003-812,59331709,"07010203-566",S015-088
H05018001,S006-214,59328883,"04010301-558",S015-102
W05017001,,59328883,"04010301-558",S015-102
E03138001,,59328285,"04010201-526",S006-929
H03138001,,59328285,"04010201-526",S006-929
W12089001,,59330850,"07010106-545",S014-545
W77088002,,59342560,"09030006-592",S014-546
H02035001,S001-755,59327477,"04010102-508",S014-559
W02035016,,59327477,"04010102-508",S014-559
W02037021,,59327301,"04010102-558",S014-561
W02037024,,77443597,"04010102-C44",S014-564
W72047008,,76802763,"09030001-987",S014-570
W03011002,,59328512,"04010201-751",S014-572
W03011002,,59328512,"04010201-751",S014-574
W03011010,,59328512,"04010201-751",S014-574
W03011010,,59328512,"04010201-751",S014-577
W03009011,,59328460,"04010201-702",S014-578
W03009016,,59328456,"04010201-698",S014-579
W03173015,,77411463,"04010201-B28",S014-580
W03161004,,59328148,"04010201-625",S014-581
W03161007,,59328148,"04010201-625",S014-581
W03161013,,59328148,"04010201-625",S014-581
W03161020,,59328148,"04010201-625",S014-581
W03161012,,59328327,"04010201-843",S014-584
W03161012,,59328327,"04010201-843",S014-585
W03009012,,59328456,"04010201-698",S014-588
W03009017,,59328456,"04010201-698",S014-588
W03036002,,59328349,"04010201-865",S014-598
H03033001,S005-755,59328083,"04010201-560",S014-600
W03009020,,59328451,"04010201-693",S014-590
W72032002,,59341284,"09030001-605",S016-394
H41065002,S005-361,68414907,"07040004-991",S016-403
W29074001,,59334156,"07020008-518",S016-404
H62046001,,59340852,"09020302-512",S014-609
H31027003,,59334066,"07020010-510",S014-610
W05012001,,64387678,"04010301-757",S014-616
W74027002,,68207784,"09030001-820",S014-637
W74018007,S007-904,68207784,"09030001-820",S014-637
W09058017,S014-643,76964953,"07010103-762",S014-643
H03055001,S005-763,59328266,"04010201-509",S014-657
H56082003,,77706558,"09020103-780",S016-453
W54001002,S003-120,59339961,"09020101-515",S016-477
H65041001,S002-078,77280701,"09020304-568",S016-483
H56056002,,59339815,"09020103-561",S016-485
H56056002,,59339815,"09020103-561",S016-486
W77088001,,59342560,"09030006-592",S016-490
W09111001,,76956697,"07010103-749",S016-503
W09111002,,76956697,"07010103-749",S016-503
W23049002,S005-650,59333095,"07020002-501",S016-506
W03015002,,59328506,"04010201-745",S016-512
W03166002,S005-759,59328066,"04010201-543",S016-514
W03161003,,59328148,"04010201-625",S016-518
W03161008,,59328148,"04010201-625",S016-518
W03161001,,59328148,"04010201-625",S016-519
W03161002,,59328148,"04010201-625",S016-519
W03161005,,59328148,"04010201-625",S016-519
W03161004,,59328148,"04010201-625",S016-520
H01037001,,76803782,"04010101-D79",S016-539
W01025004,,59326649,"04010101-532",S016-540
W08007004,,59330030,"07010102-511",S016-584
H08007002,,59330030,"07010102-511",S016-584
W08007003,,59330030,"07010102-511",S016-585
H08007002,,59330030,"07010102-511",S016-585
W42002003,,76961046,"07040006-576",S014-253
W74024002,S008-603,68207775,"09030001-819",S014-229
W74024003,,68207775,"09030001-819",S014-229
W74027003,S009-130,68207784,"09030001-820",S014-230
W74018003,,68207793,"09030001-825",S014-233
W74025001,,68207793,"09030001-825",S014-233
W15023001,S013-505,59331525,"07010201-554",S014-874
W02040002,,59327514,"04010102-545",S014-891
W02040009,,59327514,"04010102-545",S014-891
E19043001,,68226607,"07010205-638",S006-988
W74027004,,68207784,"09030001-820",S016-407
H03034001,S005-303,59328265,"04010201-508",S016-606
W43111005,,59337879,"07040008-524",S016-612
W02040005,,59327395,"04010102-652",S016-614
W03175004,,59328152,"04010201-629",S016-615
H80010001,S000-906,59342418,"09030009-501",S016-550
E07115001,S002-034,74022909,"07010101-754",S016-556
W07115004,S000-155,74022909,"07010101-754",S016-556
H12041001,,76152994,"07010106-721",S016-557
H68006001,S004-142,72729024,"09020309-537",S016-558
W41039001,,59337311,"07040004-570",S016-563
W43074001,,59337900,"07040008-545",S016-564
E19043001,,68226607,"07010205-638",S016-565
W19043002,S007-617,68226607,"07010205-638",S016-565
W40005001,,59336279,"07040003-588",S016-570
E20088001,,77108555,"07010206-814",S016-624
E20088002,,77108555,"07010206-814",S016-624
E20088003,,77108555,"07010206-814",S016-624
H12050001,,59330856,"07010106-551",S016-627
W20095003,S016-629,59332237,"07010206-552",S016-629
W20084001,S005-395,59332277,"07010206-592",S016-418
W24042001,S003-088,59332900,"07020003-521",S016-251
W40043003,,59336291,"07040003-600",S016-254
W32071002,,59334506,"07020011-556",S016-256
W03161003,,59328148,"04010201-625",S014-582
W03011005,,59328511,"04010201-750",S016-293
W03011015,,59328511,"04010201-750",S016-293
W03166001,,59328066,"04010201-543",S016-294
W03166002,S005-759,59328066,"04010201-543",S016-295
W03166002,S005-759,59328066,"04010201-543",S016-296
W03166009,,59328066,"04010201-543",S016-296
H37024001,,59335400,"07030005-510",S014-602
H09002005,,59330258,"07010103-649",S016-386
W40035006,S016-582,77836039,"07040003-F38",S016-332
W40035001,,77836039,"07040003-F38",S016-333
H03118001,,59328268,"04010201-510",S016-371
E72047001,S002-765,76802763,"09030001-987",S016-806
W40035001,,77836039,"07040003-F38",S016-657
W40035006,S016-582,77836039,"07040003-F38",S016-657
E20088001,,77108555,"07010206-814",S016-661
E20088003,,77108555,"07010206-814",S016-663
E20088003,,77108555,"07010206-814",S016-672
E20088002,,77108555,"07010206-814",S016-671
W12125002,,62020785,"07010106-700",S016-679
H02039003,,59327512,"04010102-543",S016-704
W01091006,,59327237,"04010101-B25",S016-697
W02039013,,59327512,"04010102-543",S016-705
W02039030,,59327512,"04010102-543",S016-705
W02039033,,59327512,"04010102-543",S016-705
W01092007,,59326924,"04010101-812",S016-701
W05002005,,77584904,"04010301-769",S016-709
W01091003,,59327237,"04010101-B25",S016-698
W05018005,,59328903,"04010301-578",S016-710
W01094013,,59326702,"04010101-585",S016-696
W01036001,,59326718,"04010101-601",S016-714
H07062001,S001-897,74021925,"07010101-753",S016-722
W38025009,,59335598,"07040001-692",S016-816
H43064001,S006-300,59337957,"07040008-601",S016-826
E03153001,S002-594,59328102,"04010201-579",S016-271
E20093001,,59332224,"07010206-539",S016-845
E20114001,,59332224,"07010206-539",S016-845
W40029003,,59336233,"07040003-542",S016-853
W03055002,,59328266,"04010201-509",S016-856
E40008001,,59336233,"07040003-542",S016-869
H40008001,,59336233,"07040003-542",S016-869
E40008001,,59336233,"07040003-542",S016-868
W40008003,,59336233,"07040003-542",S016-868
W40024003,,59336201,"07040003-512",S016-871
W40023003,,59336201,"07040003-512",S016-871
W40023003,,59336201,"07040003-512",S016-874
W40024002,,59336201,"07040003-512",S016-875
W43073001,,59337904,"07040008-548",S016-886
E20088002,,77108555,"07010206-814",S016-884
W43073003,S000-773,59337904,"07040008-548",S016-888
W43073004,,59337904,"07040008-548",S016-889
E67013001,S004-131,59341238,"09020306-515",S016-908
H14047001,S000-723,59331047,"07010108-507",S016-636
W43026002,S000-933,59337871,"07040008-516",S017-037
W21052003,S017-041,72634928,"07010207-681",S017-042
W21052005,S004-306,72634927,"07010207-680",S017-043
W43006001,,59337999,"07040008-643",S017-045
H34004002,,59334648,"07030001-518",S017-051
W02039023,,59327859,"04010102-B60",S017-052
H72047001,S002-765,76802763,"09030001-987",S017-165
W41046002,,59337283,"07040004-542",S017-170
W17021002,,59332033,"07010203-639",S017-186
W19077001,S008-010,59332384,"07010205-509",S017-185
H19056001,S000-461,68226607,"07010205-638",S017-182
W19033002,S008-021,68386528,"07010205-642",S017-180
W03163002,,77221718,"04010201-B02",S017-174
W03163023,,77221718,"04010201-B02",S017-174
H08003001,,59330022,"07010102-503",S017-191
W11055002,,59330929,"07010105-584",S017-195
E20093001,,59332224,"07010206-539",S017-197
E20114001,,59332224,"07010206-539",S017-197
H20114002,S003-742,59332224,"07010206-539",S017-197
E20088001,,77108555,"07010206-814",S017-230
H03189002,,59328368,"04010201-884",S017-271
W03190005,,59328332,"04010201-848",S017-275
W03190002,,59328332,"04010201-848",S017-274
W03189013,,59328368,"04010201-884",S017-272
W03190003,,59328332,"04010201-848",S017-276
W03190005,,59328332,"04010201-848",S017-276
W03190003,,59328332,"04010201-848",S017-277
E40006002,,59336319,"07040003-627",S017-282
H21018002,,59332532,"07010207-509",S017-288
E40006002,,59336319,"07040003-627",S017-296
W02039013,,59327512,"04010102-543",S017-317
W02039027,,59327512,"04010102-543",S017-317
W02039027,,59327512,"04010102-543",S017-319
W02039018,,59327856,"04010102-B57",S017-318
H02039003,,59327512,"04010102-543",S017-316
H02039003,,59327512,"04010102-543",S017-315
W24067001,,59332884,"07020003-505",S017-328
W24018003,S004-553,59332884,"07020003-505",S017-327
W41063003,S007-955,59337248,"07040004-507",S017-324
W24018002,S001-835,59332884,"07020003-505",S017-326
H78012001,S009-452,59342676,"09030007-503",S017-399
W78020001,S010-261,59342676,"09030007-503",S017-399
H62046001,,59340852,"09020302-512",S017-406
E20110001,,59332190,"07010206-506",S017-414
W20110002,,59332190,"07010206-506",S017-414
W01031001,,59327440,"04010101-D30",S017-419
W01031005,,59327440,"04010101-D30",S017-419
W41046003,,59337283,"07040004-542",S017-438
E70024001,,59341062,"09020312-504",S016-642
W03157001,S007-663,59328102,"04010201-579",S016-799
W42002001,,76961046,"07040006-576",S016-725
E20041001,S000-025,74058644,"07010206-805",S016-727
H56075001,,59339783,"09020103-529",S016-760
W38014001,S000-132,59335717,"07040001-531",S016-766
E62023001,,59340862,"09020302-522",S017-454
W03189012,,59328368,"04010201-884",S017-462
W41006002,S005-741,68390251,"07040004-971",S017-469
H41010001,S004-383,68390251,"07040004-971",S017-471
W79001003,S017-205,77129904,"09030008-561",S017-475
H21048001,,59332550,"07010207-527",S017-379
W02039004,,59327512,"04010102-543",S017-494
W02039006,,59327512,"04010102-543",S017-494
H02039003,,59327512,"04010102-543",S017-494
H18051003,S000-923,59331920,"07010204-585",S001-166
H18051004,S000-920,59331920,"07010204-585",S001-166
H33032001,,76610650,"07020012-799",S000-040
W63057004,S000-042,59340973,"09020303-512",S000-042
W18021001,S004-796,59332132,"07010204-502",S000-050
H19049002,,59332385,"07010205-510",S000-051
W78007002,,59342674,"09030007-501",S000-184
W38014001,S000-132,59335717,"07040001-531",S001-167
W40015002,,59336257,"07040003-566",S003-562
H18011001,,59331891,"07010204-556",S001-274
W57008002,,59340124,"09020104-520",S001-032
W57008003,S001-060,59340124,"09020104-520",S001-032
W57005001,S001-061,59340124,"09020104-520",S001-061
W36026001,,59335247,"07030004-513",S003-641
E57028001,S000-011,76957219,"09020104-544",S003-662
W03173005,,59328160,"04010201-636",S003-611
E41064001,,59337322,"07040004-581",S001-353
H09075001,S002-628,59330416,"07010103-518",S003-614
W38026002,,59335692,"07040001-507",S000-302
H33121005,,59334338,"07020012-519",S000-307
E33143004,S000-MNR,59334631,"07020012-505",S000-309
W33143006,S005-068,59334631,"07020012-505",S000-309
W33124001,S005-070,59334631,"07020012-505",S000-312
W33146004,S006-102,59334631,"07020012-505",S000-312
E22010001,,76595422,"07020001-552",S000-317
W16058002,S000-017,59331332,"07010202-501",S000-446
W16011003,S000-361,59331353,"07010202-520",S000-447
W39044002,S000-449,59335941,"07040002-503",S000-449
E40017001,,59336245,"07040003-554",S000-451
H40024001,S000-321,59336201,"07040003-512",S000-321
H40021001,,61898302,"07040003-F16",S000-328
W40023001,,61898302,"07040003-F16",S000-328
W41063003,S007-955,59337248,"07040004-507",S000-331
H19043001,S000-582,68226607,"07010205-638",S000-458
H19056001,S000-461,68226607,"07010205-638",S000-461
W19038001,,68226607,"07010205-638",S000-461
H19043001,S000-582,68226607,"07010205-638",S000-465
W16035004,,59331335,"07010202-503",S003-871
W03173003,,59328064,"04010201-541",S003-826
W03164006,,59328064,"04010201-541",S003-826
E16036003,S004-625,59331335,"07010202-503",S003-870
H16035003,S004-625,59331335,"07010202-503",S003-870
W02033003,,59327518,"04010102-549",S003-839
H41014001,,68390519,"07040004-975",S003-849
H41046001,S004-452,59337283,"07040004-542",S003-811
H20114002,S003-742,59332224,"07010206-539",S003-733
H20114002,S003-742,59332224,"07010206-539",S003-735
H14051003,S002-910,59331045,"07010108-505",S003-924
H14059001,,59331045,"07010108-505",S003-924
W14051001,S002-904,59331045,"07010108-505",S003-924
W14059003,,59331045,"07010108-505",S003-924
H16003001,,59331335,"07010202-503",S003-872
H16036002,S014-892,59331335,"07010202-503",S003-872
H16035005,S004-625,59331335,"07010202-503",S003-872
H16036004,S002-654,77447671,"07010202-743",S003-874
W17012002,,59331658,"07010203-515",S003-434
W17012003,,59331658,"07010203-515",S003-434
H37044002,,59335418,"07030005-527",S003-569
W32069003,S003-574,59334146,"07020011-504",S003-574
H39103003,S004-447,59335981,"07040002-542",S003-487
H68031001,,59341261,"09020309-504",S003-101
H68031002,,59341261,"09020309-504",S003-101
H58048002,S007-586,59553718,"09020106-595",S003-146
H58048001,S002-700,59553718,"09020106-595",S003-149
H56066001,S003-166,59339758,"09020103-504",S003-166
W56066002,S001-999,59339758,"09020103-504",S003-166
W54001001,,59339961,"09020101-515",S003-120
H10065002,S001-996,59330660,"07010104-502",S000-479
W33146004,S006-102,59334631,"07020012-505",S000-733
W51107001,,59339578,"07100001-501",S000-890
W26010002,S000-928,59333621,"07020005-523",S000-900
H80010001,S000-906,59342418,"09030009-501",S000-908
W80010002,S000-795,59342418,"09030009-501",S000-908
H72045001,S002-811,76802590,"09030001-985",S000-911
W43026004,,59337873,"07040008-518",S000-929
H09065001,S001-922,76964936,"07010103-754",S000-935
W37027001,,59335438,"07030005-546",S000-944
H26003001,S002-190,59333598,"07020005-503",S000-964
E03084001,,59328080,"04010201-557",S000-641
H56028001,,77131737,"09020103-767",S000-745
W33023001,S000-754,76716896,"07020012-822",S000-754
H82035002,,59343091,"10170203-527",S000-646
W43073004,,59337904,"07040008-548",S000-772
H25053002,S000-666,59333335,"07020004-528",S000-666
H27043001,S000-696,59333864,"07020006-510",S000-783
H48023002,,59339037,"07080201-503",S000-789
W80010002,S000-795,59342418,"09030009-501",S000-794
W80010004,,59342418,"09030009-501",S000-794
W56046001,S008-842,77131737,"09020103-767",S000-685
E83016001,,59342762,"10170204-509",S000-690
H80010001,S000-906,59342418,"09030009-501",S000-796
H66016001,,59340791,"09020305-527",S000-712
E41042001,,59337243,"07040004-502",S000-818
W41037001,,59337243,"07040004-502",S000-818
E40008001,,59336233,"07040003-542",S000-828
W61006001,S000-707,78004493,"09020301-561",S000-706
W10063001,S001-031,59330660,"07010104-502",S001-059
H30051001,S003-025,59334240,"07020009-502",S001-069
W40032001,,59336248,"07040003-557",S001-451
H37024001,,59335400,"07030005-510",S001-454
E66020002,S001-461,76801405,"09020305-649",S001-461
E76058001,,59341974,"09030005-525",S001-463
W76058007,,59341974,"09030005-525",S001-463
W41085001,S001-482,68411373,"07040004-976",S001-640
W73058002,S006-927,59341838,"09030002-503",S001-675
E23007001,S000-195,59333095,"07020002-501",S001-710
H41067001,S001-729,68411373,"07040004-976",S001-729
W40024002,,59336201,"07040003-512",S001-743
W31034001,,72465176,"07020010-566",S001-748
W02035004,,59327477,"04010102-508",S001-755
W02035005,,59327477,"04010102-508",S001-755
W02035015,,59327477,"04010102-508",S001-755
W02035016,,59327477,"04010102-508",S001-755
W02035023,,59327477,"04010102-508",S001-755
W24018002,S001-835,59332884,"07020003-505",S001-773
W30056001,S001-950,77298095,"07020009-627",S001-214
W39079002,,59335951,"07040002-513",S001-246
W02038012,S003-820,59327480,"04010102-511",S001-249
W18021003,,59332132,"07010204-502",S001-254
E18087001,,59332132,"07010204-502",S001-257
W18021001,S004-796,59332132,"07010204-502",S001-257
H68016001,S003-691,72730667,"09020309-541",S003-691
W57008003,S001-060,59340124,"09020104-520",S003-678
H57026001,S002-097,76957219,"09020104-544",S003-660
H20114002,S003-742,59332224,"07010206-539",S003-738
E20093001,,59332224,"07010206-539",S003-741
E20114001,,59332224,"07010206-539",S003-741
H20114002,S003-742,59332224,"07010206-539",S003-741
W40040002,,59336302,"07040003-611",S003-708
H16035003,S004-625,59331335,"07010202-503",S003-522
H09100002,S001-578,59330409,"07010103-512",S003-525
W12031002,,59330842,"07010106-537",S003-503
E33143004,S000-MNR,59334631,"07020012-505",S003-505
H18051001,S001-502,59331920,"07010204-585",S002-525
W18051005,,59331920,"07010204-585",S002-525
W18051002,S000-921,59331920,"07010204-585",S000-919
H09097001,,59330409,"07010103-512",S003-488
H37043001,,59335419,"07030005-528",S003-473
H39103001,S002-465,59335981,"07040002-542",S000-546
H39103003,S004-447,59335981,"07040002-542",S000-546
E10082002,,74051199,"07010104-656",S000-572
E10082002,,74051199,"07010104-656",S000-574
E19043001,,68226607,"07010205-638",S000-582
H03123001,,59328076,"04010201-553",S000-595
H25007001,S002-140,59333314,"07020004-508",S000-602
W25009001,S002-141,59333314,"07020004-508",S000-602
H29022001,S001-920,59333833,"07020008-508",S000-293
W15003002,S000-425,77132056,"07010201-643",S000-425
W38004002,S004-004,59335704,"07040001-518",S000-428
W25009001,S002-141,59333314,"07020004-508",S002-243
H25037001,S002-012,59333394,"07020004-587",S002-246
W31021003,,59334073,"07020010-517",S002-251
W31030002,,72465177,"07020010-567",S002-252
W39088001,,59335953,"07040002-515",S002-274
H07028001,S002-290,59329566,"07010101-526",S002-290
H39054001,S003-016,77960008,"07040002-772",S003-016
W30056001,S001-950,77298095,"07020009-627",S003-021
W33091002,,76721172,"07020012-834",S001-808
W51107001,,59339578,"07100001-501",S001-813
H18053001,S004-421,59332142,"07010204-511",S002-028
W18053002,,59332142,"07010204-511",S002-028
H07115003,,74022909,"07010101-754",S002-035
H40019001,S001-831,61899316,"07040003-F19",S001-832
W40018001,,61899316,"07040003-F19",S001-832
H40019004,,61899316,"07040003-F19",S001-832
W51107001,,59339578,"07100001-501",S001-834
H24020001,S003-084,59332884,"07020003-505",S001-837
W24018003,S004-553,59332884,"07020003-505",S001-837
W24067001,,59332884,"07020003-505",S001-837
H24020001,S003-084,59332884,"07020003-505",S001-839
W27045001,S014-558,59334002,"07020007-558",S001-305
H41067001,S001-729,68411373,"07040004-976",S001-481
H43072001,S001-318,77447637,"07040008-H19",S001-318
H18083001,S001-517,59331891,"07010204-556",S001-507
H19049002,,59332385,"07010205-510",S001-514
W17024002,S003-868,59331650,"07010203-507",S001-522
E20114001,,59332224,"07010206-539",S001-334
W39055003,,59335955,"07040002-517",S001-338
H18083001,S001-517,59331891,"07010204-556",S001-540
W41049002,,59337248,"07040004-507",S001-351
E20093001,,59332224,"07010206-539",S001-362
H03001001,S003-071,59328271,"04010201-512",S001-372
W03001013,,59328271,"04010201-512",S001-372
W03001015,S013-931,59328271,"04010201-512",S001-372
W03001007,S007-977,59328271,"04010201-512",S001-372
W43016001,,59337876,"07040008-521",S001-575
H09001001,,59330414,"07010103-516",S001-577
E39069002,S001-582,59335947,"07040002-509",S001-582
H39069001,,59335947,"07040002-509",S001-582
W39019001,S001-582,59335947,"07040002-509",S001-583
H38019002,S004-313,59335713,"07040001-527",S001-400
E20065001,,74058644,"07010206-805",S001-404
W20056001,S000-025,74058644,"07010206-805",S001-404
W75015001,S000-182,68229890,"09030008-540",S000-338
E22010002,,76595422,"07020001-552",S000-238
H02006002,,59327470,"04010102-501",S000-252
H02006003,S014-956,59327470,"04010102-501",S000-252
W02060002,,59327470,"04010102-501",S000-252
W02060003,,59327470,"04010102-501",S000-252
H02036003,S007-814,59327518,"04010102-549",S000-258
W71005002,S000-115,59341411,"09020314-501",S003-096
H43073002,,59337904,"07040008-548",S003-383
E20093001,,59332224,"07010206-539",S000-080
H68031002,,59341261,"09020309-504",S002-994
E70030001,,59341061,"09020312-503",S002-999
E71022001,,59341411,"09020314-501",S000-115
W71022001,,59341411,"09020314-501",S000-115
W71005003,,59341411,"09020314-501",S000-115
E72068001,S002-820,59341515,"09030001-535",S000-118
W35072001,,59335091,"07030003-502",S000-121
E19082001,,59332383,"07010205-508",S000-030
W41013001,S007-126,73617195,"07040004-992",S000-032
H41010001,S004-383,68390251,"07040004-971",S000-033
E41061001,,59337277,"07040004-536",S000-034
H41061001,S004-385,59337277,"07040004-536",S000-034
H30025001,S000-522,59334254,"07020009-515",S000-035
H48023001,S000-137,59339036,"07080201-502",S000-137
H30046002,S009-144,59334292,"07020009-553",S000-140
L06000100,,76595428,"07020001-554",S000-146
W33122003,S004-109,59334631,"07020012-505",S000-005
E61046001,S002-113,76957467,"09020301-544",S000-008
H09087001,,74051001,"07010103-708",S000-153
H52006001,,59339313,"07100002-501",S000-156
W62041002,S000-955,59340855,"09020302-515",S000-387
H19049001,,59332385,"07010205-510",S000-394
H19049002,,59332385,"07010205-510",S000-394
H30028001,S003-024,59334241,"07020009-503",S000-408
H37024001,,59335400,"07030005-510",S000-411
H30028001,S003-024,59334241,"07020009-503",S000-347
W19049004,S001-514,59332385,"07010205-510",S000-349
W48017001,,59339051,"07080201-517",S003-068
E03001001,,59328271,"04010201-512",S003-070
W03001014,S004-973,59328271,"04010201-512",S003-070
W03001004,,59328271,"04010201-512",S003-070
E24020002,,59332884,"07020003-505",S003-085
W33103002,S005-360,59334641,"07020012-514",S002-549
W25141002,,77438650,"07020004-765",S002-339
W25141003,S008-272,77438650,"07020004-765",S002-339
W25141002,,77438650,"07020004-765",S002-345
H18069001,,59331916,"07010204-581",S002-388
W33109001,,76715430,"07020012-806",S002-495
H72047002,,76802762,"09030001-986",S002-764
E72065001,S002-812,59341517,"09030001-537",S002-812
H84008001,S002-863,59342837,"10230003-501",S002-863
H25087001,S002-317,59333319,"07020004-513",S002-317
E70030001,,59341061,"09020312-503",S002-360
W17011003,,59331692,"07010203-549",S002-713
W21091001,S003-204,59332551,"07010207-528",S003-204
H14031001,,59331051,"07010108-511",S004-072
E62023001,,59340862,"09020302-522",S003-951
E66035003,S003-174,76797826,"09020305-647",S003-959
E66044001,S002-916,76797826,"09020305-647",S003-959
W04042002,,59328839,"04010202-501",S003-968
W04048002,,59328839,"04010202-501",S003-968
W38015002,S005-324,59335689,"07040001-504",S004-128
W41089001,S001-485,68414862,"07040004-989",S003-848
H10065001,,59330660,"07010104-502",S002-378
W10063001,S001-031,59330660,"07010104-502",S002-378
H33003001,S001-626,76721385,"07020012-837",S001-626
E40024001,,59336201,"07040003-512",S002-406
W40024003,,59336201,"07040003-512",S002-406
W40023003,,59336201,"07040003-512",S002-406
W39103007,S006-672,59335981,"07040002-542",S002-413
W38027007,,59335692,"07040001-507",S002-418
W38027012,,59335692,"07040001-507",S002-418
H35038001,S001-263,59335107,"07030003-516",S001-263
W35069005,S001-270,59335090,"07030003-501",S001-270
H35069001,S001-270,59335090,"07030003-501",S001-271
H35069003,,59335090,"07030003-501",S001-278
W35038002,,59335107,"07030003-516",S001-279
W35038004,S001-277,59335107,"07030003-516",S001-279
H35038003,,59335107,"07030003-516",S001-279
H16031001,S001-106,59331365,"07010202-531",S001-106
W13011003,S007-428,59331274,"07010107-509",S000-989
W24034001,S003-675,59332880,"07020003-501",S001-112
W24037002,S001-112,59332880,"07020003-501",S001-112
W24059004,,59332892,"07020003-513",S001-115
W30057001,S013-707,59334241,"07020009-503",S001-147
W36026001,,59335247,"07030004-513",S001-152
E41063001,,59337248,"07040004-507",S001-022
W41049002,,59337248,"07040004-507",S001-022
W41063001,,59337248,"07040004-507",S001-022
H03001001,S003-071,59328271,"04010201-512",S001-169
H03001012,S008-484,59328271,"04010201-512",S001-169
W03001013,,59328271,"04010201-512",S001-172
W56082008,S002-171,77131757,"09020103-772",S002-170
W56082005,S002-176,77131757,"09020103-772",S002-176
H26003001,S002-190,59333598,"07020005-503",S002-190
W26099001,,59333598,"07020005-503",S002-190
H26042005,S002-206,59333664,"07020005-566",S002-206
W25042001,,77440443,"07020004-771",S002-239
H32062001,S004-101,59334484,"07020011-534",S002-434
W09077003,S002-442,59330417,"07010103-519",S002-442
H15027002,,59331512,"07010201-541",S002-447
W02040001,,59327514,"04010102-545",S002-481
W39007001,,77222348,"07040002-739",S002-529
W39007003,S002-529,77222348,"07040002-739",S002-529
W33119001,S005-129,59334631,"07020012-505",S002-452
H28063001,S002-937,59334006,"07020007-562",S002-466
W28063004,,59334006,"07020007-562",S002-466
E38026001,,59335692,"07040001-507",S002-474
W38027012,,59335692,"07040001-507",S002-474
H07115001,S002-034,74022909,"07010101-754",S002-604
H07115003,,74022909,"07010101-754",S002-604
E20115003,,62514670,"07010206-801",S002-794
E20115004,,62514670,"07010206-801",S002-794
H36068001,S002-585,59335260,"07030004-526",S002-585
W36061003,,59335237,"07030004-503",S002-587
H39034002,,59336034,"07040002-595",S002-684
W23049002,S005-650,59333095,"07020002-501",S002-884
H33069001,S002-931,59334369,"07020012-550",S002-945
H33069001,S002-931,59334369,"07020012-550",S002-942
W33069002,,59334369,"07020012-550",S002-942
H14027002,S002-900,59331042,"07010108-502",S002-900
W14016001,S007-433,59331045,"07010108-505",S002-904
W21040003,,59332548,"07010207-525",S002-953
H16061001,S002-647,59331386,"07010202-552",S002-647
H16061004,S006-561,59331386,"07010202-552",S002-647
H16002002,,59331335,"07010202-503",S002-656
H12029001,,59330901,"07010106-596",S002-959
W28055001,,72896896,"07020007-691",S004-281
W14017001,S002-905,59331075,"07010108-535",S004-286
H32062001,S004-101,59334484,"07020011-534",S004-304
H38020001,S003-325,59335703,"07040001-517",S004-307
H38027002,S003-326,59335703,"07040001-517",S004-307
W38027005,,59335703,"07040001-517",S004-307
W36036001,,59335240,"07030004-506",S004-317
